Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type (v1 base),After name refinement,Hospice remapped to Other
AGILITY SPINE & SPORTS PHYSICAL THERAPY - RIVER RO,"1605 E RIVER RD STE 201, TUCSON, AZ 85718-5973",520-884-9819,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
AGILITY SPINE & SPORTS PHYSICAL THERAPY - TANQUE V,"8987 E TANQUE VERDE RD, TUCSON, AZ 85749-9610",520-884-9819,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
AGILITY SPINE & SPORTS PHYSICAL THERAPY- ST MARY'S,"1777 W SAINT MARYS RD, TUCSON, AZ 85745-2687",713-297-7045,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
ARROWHEAD HOSPITAL CARDIAC REHABILITATION SERVICES,"ARROWHD MED OFC BLDG II, STE 1, GLENDALE, AZ 85308",623-561-7489,Cardiology Office,High,Hospital,Cardiology Office,no
BANNER BOSWELL MED CTR CARDIAC & PULMONARY REHAB,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-832-5390,Cardiology Office,High,Rehab Hospital,Cardiology Office,no
BANNER PAYSON MEDICAL CENTER CARDIOPULM REHAB AND,"803 S PONDEROSA ST STE A, PAYSON, AZ 85541-5521",928-596-4575,Cardiology Office,High,Hospital,Cardiology Office,no
BARROW BRIDGE NEURO-REHABILITATION,"222 W THOMAS RD STE 30, PHOENIX, AZ 85013-4419",602-406-5001,Neurology Office,High,Rehab Hospital,Neurology Office,no
BARROW CENTER FOR TRANSITIONAL NEURO-REHABILITATI,"222 W THOMAS RD STE 40, PHOENIX, AZ 85013-4419",602-406-3473,Neurology Office,High,Rehab Hospital,Neurology Office,no
BARROW MOVEMENT DISORDERS OUTPATIENT NEURO-REHABIL,"240 W THOMAS RD STE 303, PHOENIX, AZ 85013-4407",602-406-4324,Neurology Office,High,Rehab Hospital,Neurology Office,no
BARROW OUTPATIENT NEURO-REHABILITATION CENTER -,"222 W THOMAS RD STE 11, PHOENIX, AZ 85013-4419",602-406-3726,Neurology Office,High,Rehab Hospital,Neurology Office,no
BARROW OUTPATIENT NEURO-REHABILITATION CENTER-NO,"222 W THOMAS RD STE 10, PHOENIX, AZ 85013-4419",602-406-3726,Neurology Office,High,Rehab Hospital,Neurology Office,no
ENTIRECARE REHAB AND SPORTS MEDICINE - SEDONA,"35 DRY CREEK RD, SEDONA, AZ 86336-4359",928-282-6775,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
HONORHEALTH CARDIAC REHAB CENTER,"9201 E MOUNTAIN VIEW RD, SCOTTSDALE, AZ 85258-5199",480-323-4603,Cardiology Office,High,Rehab Hospital,Cardiology Office,no
HONORHEALTH CARDIAC REHAB CENTER,"19636 N 27TH AVE, PHOENIX, AZ 85027-4013",480-323-3539,Cardiology Office,High,Rehab Hospital,Cardiology Office,no
"HONORHEALTH CARDIAC REHAB, THERAPY SERVICES AND WO","9202 N 2ND ST, PHOENIX, AZ 85020-2458",480-318-1317,Cardiology Office,High,Rehab Hospital,Cardiology Office,no
NORTHWEST MEDICAL CENTER CARDIAC REHAB,"1980 W HOSPITAL DR, TUCSON, AZ 85704-7802",520-202-2740,Cardiology Office,High,Hospital,Cardiology Office,no
PHOENIX CHILDREN'S SPORTS MED PHYSICAL THERAPY- PE,"18969 N 83RD AVE STE 4, PEORIA, AZ 85382-2844",602-933-1000,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
YUMA REGIONAL MEDICAL CENTER BONE & JOINT TUSCANY,"2851 S AVENUE B STE 201, YUMA, AZ 85364-7730",928-726-5600,Orthopedic Office,High,Hospital,Orthopedic Office,no
YUMA REGIONAL MEDICAL CENTER CARDIOLOGY,"2460 WEST PARKVIEW LOOP, SUITE, YUMA, AZ 85364",928-336-1675,Cardiology Office,High,Hospital,Cardiology Office,no
YUMA REGIONAL MEDICAL CENTER CARDIOVASCULAR AND,"2460 S PARKVIEW LOOP STE 202, YUMA, AZ 85364-5358",928-336-2619,Cardiology Office,High,Hospital,Cardiology Office,no
YUMA REGIONAL MEDICAL CENTER FOOT AND ANKLE,"1881 W 24TH ST STE C, YUMA, AZ 85364-6298",928-314-3333,Podiatry Office,High,Hospital,Podiatry Office,no
YUMA REGIONAL MEDICAL CTR CARDIAC AND PULMONARY,"2460 S PARKVIEW LOOP, YUMA, AZ 85364-5351",928-336-1015,Cardiology Office,High,Hospital,Cardiology Office,no
1Care Hospice Arizona,"8687 E VIA DE VENTURA STE 111, SCOTTSDALE, AZ 85258-3353",480-590-2367,Other,Medium,Hospice,Hospice,yes
A AND B HOSPICE INC,"3275 W INA RD STE 115, TUCSON, AZ 85741-2152",480-696-8726,Other,Medium,Hospice,Hospice,yes
A TLC HOSPICE LLC,"3960 E RIGGS RD STE 3, CHANDLER, AZ 85249-5411",480-687-2892,Other,Medium,Hospice,Hospice,yes
Ability Hospice,"4710 E FALCON DR STE 201, MESA, AZ 85215-2504",480-447-9049,Other,Medium,Hospice,Hospice,yes
ACACIA HOSPICE CARE OF LAKE HAVASU INC,"1930 MESQUITE AVE STE 9, LAKE HAVASU CITY, AZ 86403-5772",928-770-5580,Other,Medium,Hospice,Hospice,yes
"Acacia Hospice Care, Inc","107 E 24TH ST, YUMA, AZ 85364-8544",623-329-2676,Other,Medium,Hospice,Hospice,yes
"ACCENTURE HOSPICE, LLC","1842 W GRANT RD STE 10, TUCSON, AZ 85745-1219",520-668-4978,Other,Medium,Hospice,Hospice,yes
"ACCORD HOSPICE OF SEDONA VALLEY, LLC","2155 W STATE ROUTE 89A # SUI, SEDONA, AZ 86336-5468",928-278-4134,Other,Medium,Hospice,Hospice,yes
"Accord Hospice Of The White Mountains, LLC","5300 S SUTTER DR, SHOW LOW, AZ 85901-8054",928-271-8013,Other,Medium,Hospice,Hospice,yes
ADVENT HOSPICE LLC,"4025 E CHANDLER BLVD, PHOENIX, AZ 85048-8829",602-824-8730,Other,Medium,Hospice,Hospice,yes
"ADVISACARE HOSPICE, LLC","1757 E BASELINE RD, GILBERT, AZ 85233-1532",480-284-4600,Other,Medium,Hospice,Hospice,yes
ADVOCATE HOSPICE,"7600 N 16TH ST, PHOENIX, AZ 85020-4431",602-830-0605,Other,Medium,Hospice,Hospice,yes
"AEGIS HOSPICE, INC (031613)","4950 S LINDSAY RD, CHANDLER, AZ 85249-9203",480-219-4790,Other,Medium,Hospice,Hospice,yes
"Aegis Hospice, Inc.","7227 E BASELINE RD STE 129, MESA, AZ 85209-5006",480-219-4790,Other,Medium,Hospice,Hospice,yes
Affinity Hospice Care Inc,"4400 E BROADWAY BLVD, TUCSON, AZ 85711-3517",520-230-1220,Other,Medium,Hospice,Hospice,yes
AGAPE HOSPICE & PALLIATIVE CARE,"4400 E BROADWAY BLVD, TUCSON, AZ 85711-3517",520-207-5817,Other,Medium,Hospice,Hospice,yes
AGAPE HOSPICE PINAL COUNTY,"520 N CAMINO MERCADO STE 11, CASA GRANDE, AZ 85122-5754",480-750-1440,Other,Medium,Hospice,Hospice,yes
Agave HOSPICE,"3240 E UNION HILLS DR # SU, PHOENIX, AZ 85050-2609",602-855-3500,Other,Medium,Hospice,Hospice,yes
ALAGA HOSPICE LLC,"3250 GATEWAY BLVD STE 112, PRESCOTT, AZ 86303-6856",708-248-0352,Other,Medium,Hospice,Hospice,yes
ALBRIGHT HOSPICE INC,"7150 E CAMELBACK RD STE 4, SCOTTSDALE, AZ 85251-1200",480-550-9382,Other,Medium,Hospice,Hospice,yes
ALECA HOSPICE,"8502 E PRINCESS DR, SCOTTSDALE, AZ 85255-7802",480-748-4300,Other,Medium,Hospice,Hospice,yes
ALL CARE HOSPICE INC,"8712 E VISTA BONITA DR, SCOTTSDALE, AZ 85255-4299",480-582-4110,Other,Medium,Hospice,Hospice,yes
ALL HEART HOSPICE LLC,"105 N PASADENA ST # SUI, GILBERT, AZ 85233-5013",480-246-3593,Other,Medium,Hospice,Hospice,yes
ALL TIME HOSPICE CARE INC,"13231 N 35TH AVE STE A11-C, PHOENIX, AZ 85029-1233",747-877-9357,Other,Medium,Hospice,Hospice,yes
ALLEGIANCE HOSPICE,"5060 N 19TH AVE STE 406, PHOENIX, AZ 85015-3214",602-684-2962,Other,Medium,Hospice,Hospice,yes
ALWAYS PRESENT HOSPICE,"1400 N GILBERT RD, GILBERT, AZ 85234-2328",480-907-9737,Other,Medium,Hospice,Hospice,yes
Amedisys Hospice,"1585 E RIVER RD STE 20, TUCSON, AZ 85718-5978",520-205-7700,Other,Medium,Hospice,Hospice,yes
AMERICAN CARE CONCEPTS HOSPICE LLC,"105 N PASADENA ST # SUI, GILBERT, AZ 85233-5013",602-902-1982,Other,Medium,Hospice,Hospice,yes
"AMERICAN PREMIER HOSPICE, LLC","11070 N 24TH AVE STE 200, PHOENIX, AZ 85029-4705",602-795-9480,Other,Medium,Hospice,Hospice,yes
AMERICARE HOSPICE AND PALLIATIVE CARE,"1212 N SPENCER # SUI, MESA, AZ 85203-4347",480-726-7773,Other,Medium,Hospice,Hospice,yes
"Amha Hospice, LLC","2577 W QUEEN CREEK RD STE 200A, CHANDLER, AZ 85248-0913",480-359-3998,Other,Medium,Hospice,Hospice,yes
Angels Care Hospice,"1000 WILLOW CREEK RD, PRESCOTT, AZ 86301-1645",928-379-2887,Other,Medium,Hospice,Hospice,yes
ANGELS HEART HOSPICE INC,"722 E OSBORN RD STE 30, PHOENIX, AZ 85014-5245",480-741-4604,Other,Medium,Hospice,Hospice,yes
Angels Touch Hospice Care Inc,"1940 E THUNDERBIRD RD STE 101, PHOENIX, AZ 85022-5760",602-327-4386,Other,Medium,Hospice,Hospice,yes
Anthem Hospice Care,"105 N PASADENA ST # SUI, GILBERT, AZ 85233-5013",480-588-5777,Other,Medium,Hospice,Hospice,yes
APOLLO HOSPICE INC,"14631 N CAVE CREEK RD, PHOENIX, AZ 85022-4159",818-851-6060,Other,Medium,Hospice,Hospice,yes
Aquarius Hospice,"11225 N 28TH DR STE A204, PHOENIX, AZ 85029-5631",602-466-3686,Other,Medium,Hospice,Hospice,yes
ARA HOSPICE CARE INC,"4150 E PEORIA, STE 114-A, PHOENIX, AZ 85029",480-300-3130,Other,Medium,Hospice,Hospice,yes
"Arch Hospice, Llc","10210 N 32ND ST STE C202, PHOENIX, AZ 85028-3827",480-229-8298,Other,Medium,Hospice,Hospice,yes
ARDENT HOSPICE LLC,"1256 W CHANDLER BLVD, CHANDLER, AZ 85224-5207",480-851-0380,Other,Medium,Hospice,Hospice,yes
Aria Hospice Comfort Care,"7225 N MONA LISA RD # SUI, TUCSON, AZ 85741-4529",520-547-7000,Other,Medium,Hospice,Hospice,yes
ARISTA HOSPICE,"1636 N SWAN RD STE 250, TUCSON, AZ 85712-4000",520-333-0333,Other,Medium,Hospice,Hospice,yes
"Arizona American Hospice, Llc","3101 N CENTRAL AVE STE 770, PHOENIX, AZ 85012-2665",480-500-8544,Other,Medium,Hospice,Hospice,yes
"Arizona Best Hospice, LLC","250 W 24TH ST STE P, YUMA, AZ 85364-8506",928-783-0705,Other,Medium,Hospice,Hospice,yes
Arizona Care Hospice,"1100 N BEELINE HWY, PAYSON, AZ 85541-3766",928-474-3721,Other,Medium,Hospice,Hospice,yes
ARIZONA CARE HOSPICE,"12035 N SAGUARO BLVD, FOUNTAIN HILLS, AZ 85268-4682",480-588-8200,Other,Medium,Hospice,Hospice,yes
ARIZONA HOSPICE CARE INC,"13201 N 35TH AVE STE B9Z, PHOENIX, AZ 85029-1222",623-323-5199,Other,Medium,Hospice,Hospice,yes
Arizona Life Hospice,"4824 E BASELINE RD, MESA, AZ 85206-4676",480-888-5609,Other,Medium,Hospice,Hospice,yes
Arizona Life Hospice - Mohave,"5225 S HIGHWAY 95 STE 7, FORT MOHAVE, AZ 86426-9111",480-888-5609,Other,Medium,Hospice,Hospice,yes
Arizona Life Hospice – Yavapai,"3177 CLEARWATER DR STE B, PRESCOTT, AZ 86305-7272",480-888-5609,Other,Medium,Hospice,Hospice,yes
ARIZONA PROFESSIONAL HOSPICE CARE,"11225 N 28TH DR, PHOENIX, AZ 85029-5606",602-334-5778,Other,Medium,Hospice,Hospice,yes
ASCENSION HOSPICE LLC,"6263 N SCOTTSDALE RD STE 1, SCOTTSDALE, AZ 85250-5406",602-325-6630,Other,Medium,Hospice,Hospice,yes
ASPEN HOSPICE,"17505 N 79TH AVE, GLENDALE, AZ 85308-8725",602-609-6777,Other,Medium,Hospice,Hospice,yes
ASSISTED HOSPICE CARE,"1420 E MISSOURI AVE # SUI, PHOENIX, AZ 85014-2405",480-860-2345,Other,Medium,Hospice,Hospice,yes
"Assisteo Hospice, LLC","2929 N 44TH ST, PHOENIX, AZ 85018-7238",602-455-1823,Other,Medium,Hospice,Hospice,yes
"Assisteo North Hospice, LLC","919 12TH PL STE 6, PRESCOTT, AZ 86305-1433",928-277-1345,Other,Medium,Hospice,Hospice,yes
Astra Hospice Care,"3420 E SHEA BLVD, PHOENIX, AZ 85028-3345",480-645-9660,Other,Medium,Hospice,Hospice,yes
AURORA HOSPICE LLC,"1930 S ALMA SCHOOL RD, MESA, AZ 85210-3064",480-564-1058,Other,Medium,Hospice,Hospice,yes
AVESTA HOSPICE INC,"312 N ALMA SCHOOL RD # SU, CHANDLER, AZ 85224-4354",602-820-8168,Other,Medium,Hospice,Hospice,yes
AVIANT HOSPICE GILA,"136 S BROAD ST, GLOBE, AZ 85501-2602",928-425-5400,Other,Medium,Hospice,Hospice,yes
AVIANT HOSPICE MARICOPA,"2430 W RAY RD STE 3A, CHANDLER, AZ 85224-3552",480-398-3018,Other,Medium,Hospice,Hospice,yes
AVIANT HOSPICE PHOENIX,"1400 N GILBERT RD, GILBERT, AZ 85234-2328",480-398-2411,Other,Medium,Hospice,Hospice,yes
AVIANT HOSPICE YAVAPAI,"1756 E VILLA DR STE C, COTTONWOOD, AZ 86326-4705",928-634-1073,Other,Medium,Hospice,Hospice,yes
AZ HOSPICE CARE INC,"1825 E NORTHERN AVE # SUI, PHOENIX, AZ 85020-3940",480-645-9640,Other,Medium,Hospice,Hospice,yes
AZ SUNSET HOSPICE,"4045 E UNION HILLS DR, PHOENIX, AZ 85050-3386",480-544-9334,Other,Medium,Hospice,Hospice,yes
AZORNA HOSPICE AND PALLIATIVE CARE,"2919 S ELLSWORTH RD # SUI, MESA, AZ 85212-2164",480-637-4100,Other,Medium,Hospice,Hospice,yes
AZORNA HOSPICE AND PALLIATIVE CARE OF TUCSON,"1 S CHURCH AVE STE 1, TUCSON, AZ 85701-1612",818-960-9634,Other,Medium,Hospice,Hospice,yes
Bayada Hospice,"7070 N ORACLE RD STE 110, TUCSON, AZ 85704-4338",520-369-4560,Other,Medium,Hospice,Hospice,yes
BEACON OF HOPE HOSPICE,"1760 MCCULLOCH BLVD N, LAKE HAVASU CITY, AZ 86403-6976",928-854-4200,Other,Medium,Hospice,Hospice,yes
Beacon Of Hope Hospice,"3550 NORTH LN, BULLHEAD CITY, AZ 86442-9114",928-854-4200,Other,Medium,Hospice,Hospice,yes
BELIEF HOSPICE,"1930 S ALMA SCHOOL RD # SUI, MESA, AZ 85210-3064",480-845-8088,Other,Medium,Hospice,Hospice,yes
Best Support Hospice Inc,"4150 W PEORIA AVE STE B130-D, PHOENIX, AZ 85029-3945",602-960-6027,Other,Medium,Hospice,Hospice,yes
BILLET HOSPICE INC- BULLHEAD CITY,"1954 HIGHWAY 95 STE 2B, BULLHEAD CITY, AZ 86442-6751",844-824-3577,Other,Medium,Hospice,Hospice,yes
BILLET HOSPICE INC- PEORIA,"6718 W GREENWAY RD, PEORIA, AZ 85381-4583",833-224-5538,Other,Medium,Hospice,Hospice,yes
"Billet Hospice, Inc - Phoenix","5540 W GLENDALE AVE STE C, GLENDALE, AZ 85301-2550",833-224-5538,Other,Medium,Hospice,Hospice,yes
BLISS HOSPICE LLC,"2550 W UNION HILLS DR # 3, PHOENIX, AZ 85027-5163",602-492-1643,Other,Medium,Hospice,Hospice,yes
BLUE HAVEN HOSPICE CARE INC,"4150 W PEORIA AVE STE B114, PHOENIX, AZ 85029-3945",480-885-5119,Other,Medium,Hospice,Hospice,yes
BLUE SKY HOSPICE CARE INC,"4150 W PEORIA AVE STE B114C, PHOENIX, AZ 85029-3945",480-885-5283,Other,Medium,Hospice,Hospice,yes
"Blue Sky Hospice, Inc","8035 E BROWN RD STE 20, MESA, AZ 85207-3901",480-389-2484,Other,Medium,Hospice,Hospice,yes
Bright Life Care Hospice Llc,"10000 N 31ST AVE STE C216, PHOENIX, AZ 85051-9628",602-607-5017,Other,Medium,Hospice,Hospice,yes
BRISTOL HOSPICE - TUCSON,"5210 E WILLIAMS CIR STE 530, TUCSON, AZ 85711-4459",520-300-9337,Other,Medium,Hospice,Hospice,yes
Canyon Hospice,"2031 HIGHWAY 95, BULLHEAD CITY, AZ 86442-6004",928-605-4009,Other,Medium,Hospice,Hospice,yes
"Care Plus Hospice Care, Llc","10290 N 92ND ST, SCOTTSDALE, AZ 85258-4522",623-476-9198,Other,Medium,Hospice,Hospice,yes
CARELIFE HOSPICE LLC,"16042 N 32ND ST STE C4-C, PHOENIX, AZ 85032-0027",480-234-3568,Other,Medium,Hospice,Hospice,yes
"Caring Hands Palliative And Hospice Care, Inc","10000 N 31ST AVE STE D119, PHOENIX, AZ 85051-9582",602-742-0370,Other,Medium,Hospice,Hospice,yes
CASA DE LA LUZ HOSPICE,"7740 N ORACLE RD, TUCSON, AZ 85704-6313",337-233-1307,Other,Medium,Hospice,Hospice,yes
CASA DE LA PAZ HOSPICE,"49 N CORONADO DR, SIERRA VISTA, AZ 85635-6346",337-233-1307,Other,Medium,Hospice,Hospice,yes
CASA HOSPICE AT THE HACIENDA,"2720 E RIVER RD, TUCSON, AZ 85718-6636",520-544-9890,Other,Medium,Hospice,Hospice,yes
CATALINA HOSPICE PLLC,"3980 N CAMPBELL AVE, TUCSON, AZ 85719-1460",520-999-5903,Other,Medium,Hospice,Hospice,yes
"CHARLES WM. LEIGHTON, JR. HOSPICE, INC.","524 W MALEY PL, WILLCOX, AZ 85643-2042",520-384-5878,Other,Medium,Hospice,Hospice,yes
Choice Hospice,"2111 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4741",602-795-9705,Other,Medium,Hospice,Hospice,yes
COMFORTING HOSPICE CENTER INC,"4150 W PEORIA AVE, PHOENIX, AZ 85029-3900",480-674-0540,Other,Medium,Hospice,Hospice,yes
Copper State Hospice Inc,"1 S CHURCH AVE, TUCSON, AZ 85701-1612",520-612-2181,Other,Medium,Hospice,Hospice,yes
CORNERSTONE HOSPICE INC,"4600 E WASHINGTON ST, PHOENIX, AZ 85034-1903",480-666-3964,Other,Medium,Hospice,Hospice,yes
Creek View Hospice LLC,"4657 E COTTON GIN LOOP, PHOENIX, AZ 85040-8830",602-603-5165,Other,Medium,Hospice,Hospice,yes
"D'AMORE HOSPICE, LLC","10000 N 31ST AVE, PHOENIX, AZ 85051-9582",602-612-4111,Other,Medium,Hospice,Hospice,yes
"DEPENDABLE HOSPICE AND PALLIATIVE CARE, LLC","1141 N EL DORADO PL # SU, TUCSON, AZ 85715-4623",520-901-5200,Other,Medium,Hospice,Hospice,yes
Desert Harmony Hospice of Tucson,"310 S WILLIAMS BLVD STE 210, TUCSON, AZ 85711-4483",520-284-9334,Other,Medium,Hospice,Hospice,yes
"DESERT SKY HOSPICE, LLC","2737 E GREENWAY RD, PHOENIX, AZ 85032-4391",602-899-9068,Other,Medium,Hospice,Hospice,yes
Desert Valley Hospice Llc,"20045 N 19TH AVE, PHOENIX, AZ 85027-4252",602-999-0960,Other,Medium,Hospice,Hospice,yes
Devoted Hospice Care Inc,"4150 W PEORIA AVE STE B, PHOENIX, AZ 85029-3900",602-742-0335,Other,Medium,Hospice,Hospice,yes
DIGNITY HOSPICE,"1 W DEER VALLEY RD STE 1, PHOENIX, AZ 85027-2128",602-402-6619,Other,Medium,Hospice,Hospice,yes
"Divine Hospice and Palliative Care, LLC","18185 N 83RD AVE STE 203, GLENDALE, AZ 85308-0523",623-566-7995,Other,Medium,Hospice,Hospice,yes
Doctors Choice Hospice LLC,"60 E RIO SALADO PKWY # SU, TEMPE, AZ 85281-9124",480-240-0278,Other,Medium,Hospice,Hospice,yes
E&E HOSPICE CARE INC,"4150 W PEORIA AVE, PHOENIX, AZ 85029-3900",602-922-4373,Other,Medium,Hospice,Hospice,yes
Eden Hospice,"1491 W THATCHER BLVD, SAFFORD, AZ 85546-3362",928-432-6255,Other,Medium,Hospice,Hospice,yes
EDEN HOSPICE,"4066 E MONSANTO DR, SIERRA VISTA, AZ 85650-8512",360-892-6628,Other,Medium,Hospice,Hospice,yes
EDEN HOSPICE CARE INC,"1129 W IRON SPRINGS RD STE 109, PRESCOTT, AZ 86305-1623",928-482-2490,Other,Medium,Hospice,Hospice,yes
ELEVATE HOSPICE AND PALLIATIVE CARE LLC,"7010 E ACOMA DR STE 1, SCOTTSDALE, AZ 85254-3553",480-800-4816,Other,Medium,Hospice,Hospice,yes
EMBLEM HOSPICE,"1400 E SOUTHERN AVE, TEMPE, AZ 85282-5691",480-444-7800,Other,Medium,Hospice,Hospice,yes
Emblem Hospice Central,"301 E BETHANY HOME RD # SU, PHOENIX, AZ 85012-1263",623-847-2323,Other,Medium,Hospice,Hospice,yes
Emblem Hospice Green Valley,"210 W CONTINENTAL RD STE 176, GREEN VALLEY, AZ 85622-3329",520-615-3996,Other,Medium,Hospice,Hospice,yes
Emblem Hospice Tucson,"1880 E RIVER RD, TUCSON, AZ 85718-5994",520-297-1460,Other,Medium,Hospice,Hospice,yes
EMBLEM HOSPICE WEST,"301 E BETHANY HOME RD, PHOENIX, AZ 85012-1263",623-322-8686,Other,Medium,Hospice,Hospice,yes
"EMPEROR HOSPICE OF ARIZONA, INC","1839 S ALMA SCHOOL RD, MESA, AZ 85210-3023",602-609-2555,Other,Medium,Hospice,Hospice,yes
"Empress Care Hospice, Inc","1839 S ALMA SCHOOL RD STE 170, MESA, AZ 85210-3025",602-809-2911,Other,Medium,Hospice,Hospice,yes
